Geneid	Chr	Start	End	Strand	Length	dump/SRR6754132_subread.bam	dump/SRR6754133_subread.bam	dump/SRR6754134_subread.bam	dump/SRR6754135_subread.bam	dump/SRR6754136_subread.bam	dump/SRR6754137_subread.bam	dump/SRR6754138_subread.bam	dump/SRR6754139_subread.bam	dump/SRR6754140_subread.bam
Gm44938	chr7	58926564	58927790	+	1227	0	1	0	0	0	0	0	0	0
Gm18453	chr7	58948934	58949559	-	626	0	0	0	0	0	0	0	0	0
Gm9373	chr7	58951578	58952176	+	599	0	3	0	0	0	0	0	0	0
Gm9375	chr7	58970237	58971139	+	903	0	5	0	0	0	0	0	0	0
Gm45189	chr7	59109139	59109501	+	363	0	5	0	0	0	0	0	0	0
Gm9377	chr7	59109920	59110542	+	623	0	0	0	0	0	0	0	0	0
Gm44743	chr7	59171529	59171914	+	386	0	0	0	0	0	0	0	0	0
Gm44742	chr7	59202391	59203802	-	1412	0	15	9	0	0	0	13	0	0
9330162G02Rik	chr7	59223847	59254788	-	30942	1264	1684	1086	717	1334	1238	1309	1019	988
Ube3a	chr7	59228750	59311536	+	82787	3532	4756	3769	1864	4572	4741	4614	2928	3291
Gm44562	chr7	59258855	59260201	-	1347	12	11	18	0	0	0	1	9	0
Gm44559	chr7	59262923	59263934	-	1012	1	13	0	0	0	0	0	0	0
Gm44560	chr7	59286052	59289166	-	3115	465	575	574	287	715	764	894	494	517
Gm44830	chr7	59292518	59293101	+	584	6	1	0	0	0	0	0	0	0
Snhg14	chr7	59307924	59975759	-	667836	380	1284	548	121	279	340	385	226	298
Gm44829	chr7	59318631	59321823	+	3193	52	76	41	10	4	0	2	33	0
A230103L15Rik	chr7	59327318	59331189	-	3872	1	51	11	0	0	0	0	0	0
Gm25499	chr7	59342226	59342294	-	69	0	0	0	0	0	0	0	0	0
Gm24966	chr7	59344073	59344151	-	79	0	0	0	0	0	0	0	0	0
Gm22496	chr7	59347337	59347424	-	88	0	0	0	0	0	0	0	0	0
Gm25648	chr7	59347681	59347759	-	79	0	0	0	0	0	0	0	0	0
Gm24306	chr7	59349536	59349614	-	79	0	0	0	0	0	0	0	0	0
Gm25934	chr7	59351409	59351487	-	79	0	2	0	0	0	0	0	0	0
Gm25156	chr7	59353283	59353361	-	79	0	4	0	0	0	0	0	0	0
Gm26488	chr7	59355152	59355230	-	79	0	0	0	0	0	0	0	0	0
Gm24220	chr7	59357021	59357099	-	79	0	0	0	0	0	0	0	0	0
Gm24653	chr7	59358890	59358968	-	79	0	0	0	0	0	0	0	0	0
Gm24969	chr7	59360760	59360838	-	79	0	0	0	0	0	0	0	0	0
Gm24417	chr7	59362628	59362706	-	79	0	0	0	0	0	0	0	0	0
Gm25121	chr7	59364496	59364574	-	79	1	0	0	0	0	0	0	0	0
Gm24657	chr7	59366366	59366444	-	79	0	0	0	0	0	0	0	0	0
Gm26230	chr7	59368236	59368314	-	79	0	0	0	0	0	0	0	0	0
Gm23922	chr7	59370106	59370184	-	79	0	0	0	0	0	0	0	0	0
Gm25314	chr7	59371975	59372053	-	79	0	0	0	0	0	0	0	0	0
Gm26096	chr7	59373844	59373922	-	79	0	0	0	0	0	0	0	0	0
Gm22996	chr7	59375713	59375791	-	79	0	0	0	0	0	0	0	0	0
Gm26499	chr7	59377582	59377660	-	79	0	0	0	0	0	0	0	0	0
Gm25646	chr7	59379451	59379529	-	79	0	0	0	0	0	0	0	0	0
Gm26498	chr7	59386081	59386159	-	79	0	0	0	0	0	0	0	0	0
Gm23660	chr7	59387953	59388031	-	79	0	0	0	0	0	0	0	0	0
Gm23933	chr7	59389820	59389898	-	79	0	0	0	0	0	0	0	0	0
Gm24862	chr7	59391690	59391768	-	79	0	0	0	0	0	0	0	0	0
Gm24866	chr7	59393561	59393639	-	79	0	0	0	0	0	0	0	0	0
Gm22348	chr7	59405330	59405408	-	79	0	0	0	0	0	0	0	0	0
Gm26466	chr7	59407197	59407275	-	79	0	0	0	0	0	0	0	0	0
Gm24799	chr7	59409063	59409141	-	79	0	0	0	0	0	0	0	0	0
Gm24088	chr7	59410933	59411011	-	79	0	0	0	0	0	0	0	0	0
Gm25463	chr7	59412802	59412880	-	79	0	0	0	0	0	0	0	0	0
Gm25229	chr7	59414091	59414169	-	79	0	0	0	0	0	0	0	0	0
Gm24528	chr7	59415590	59415668	-	79	0	0	0	0	0	0	0	0	0
Gm23356	chr7	59417457	59417535	-	79	0	0	0	0	0	0	0	0	0
Gm25449	chr7	59419323	59419401	-	79	0	0	0	0	0	0	0	0	0
Gm24872	chr7	59421187	59421265	-	79	0	0	0	0	0	0	0	0	0
Gm26337	chr7	59423055	59423133	-	79	0	0	0	0	0	0	0	0	0
Gm23145	chr7	59424924	59425002	-	79	0	0	0	0	0	0	0	0	0
Gm22130	chr7	59426795	59426873	-	79	0	0	0	0	0	0	0	0	0
Gm25988	chr7	59428665	59428743	-	79	0	0	0	0	0	0	0	0	0
Gm25221	chr7	59430536	59430614	-	79	0	0	0	0	0	0	0	0	0
Gm26389	chr7	59432407	59432485	-	79	0	0	0	0	0	0	0	0	0
Gm23471	chr7	59434277	59434355	-	79	0	0	0	0	0	0	0	0	0
Gm25120	chr7	59436149	59436227	-	79	0	0	0	0	0	0	0	0	0
Gm24418	chr7	59438019	59438097	-	79	0	0	0	0	0	0	0	0	0
Gm23687	chr7	59439891	59439969	-	79	0	0	0	0	0	0	0	0	0
Gm22393	chr7	59441762	59441840	-	79	0	0	0	0	0	0	0	0	0
Gm24639	chr7	59443631	59443709	-	79	0	0	0	0	0	0	0	0	0
Gm24566	chr7	59445503	59445581	-	79	0	0	0	0	0	0	0	0	0
Gm22111	chr7	59447374	59447452	-	79	0	0	0	0	0	0	0	0	0
Gm23076	chr7	59449243	59449321	-	79	0	0	0	0	0	0	0	0	0
Gm25874	chr7	59451115	59451193	-	79	0	0	0	0	0	0	0	0	0
Gm25088	chr7	59452983	59453061	-	79	0	0	0	0	0	0	0	0	0
Gm22510	chr7	59454855	59454933	-	79	0	0	0	0	0	0	0	0	0
Gm24983	chr7	59458815	59458883	-	69	0	0	0	0	0	0	0	0	0
Gm24027	chr7	59460677	59460755	-	79	0	0	0	0	0	0	0	0	0
Gm22524	chr7	59462548	59462626	-	79	0	0	0	0	0	0	0	0	0
Gm22630	chr7	59464420	59464498	-	79	0	0	0	0	0	0	0	0	0
Gm25741	chr7	59466292	59466370	-	79	0	0	0	0	0	0	0	0	0
Gm26059	chr7	59468163	59468241	-	79	0	0	0	0	0	0	0	0	0
Gm25175	chr7	59470034	59470112	-	79	0	0	0	0	0	0	0	0	0
Gm22511	chr7	59471904	59471982	-	79	0	0	0	0	0	0	0	0	0
Gm25077	chr7	59473776	59473854	-	79	0	0	0	0	0	0	0	0	0
Gm22834	chr7	59475622	59475700	-	79	0	0	0	0	0	0	0	0	0
Gm24926	chr7	59477493	59477571	-	79	0	0	0	0	0	0	0	0	0
Gm26200	chr7	59479347	59479425	-	79	0	0	0	0	0	0	0	0	0
Gm22632	chr7	59481219	59481297	-	79	0	0	0	0	0	0	0	0	0
Gm23254	chr7	59483074	59483152	-	79	0	0	0	0	0	0	0	0	0
Gm26390	chr7	59484948	59485026	-	79	0	0	0	0	0	0	0	0	0
Gm26366	chr7	59486818	59486896	-	79	0	0	0	0	0	0	0	0	0
Gm26336	chr7	59488689	59488767	-	79	0	0	0	0	0	0	0	0	0
Gm26283	chr7	59490561	59490639	-	79	0	0	0	0	0	0	0	0	0
Gm25098	chr7	59492432	59492510	-	79	0	0	0	0	0	0	0	0	0
Gm24702	chr7	59494300	59494378	-	79	0	0	0	0	0	0	0	0	0
Gm26432	chr7	59496169	59496247	-	79	0	0	0	0	0	0	0	0	0
Gm25462	chr7	59498041	59498119	-	79	0	0	0	0	0	0	0	0	0
Gm24495	chr7	59507198	59507276	-	79	0	0	0	0	0	0	0	0	0
Gm25523	chr7	59509068	59509146	-	79	0	0	0	0	0	0	0	0	0
Gm22255	chr7	59510934	59511012	-	79	0	0	0	0	0	0	0	0	0
Gm23449	chr7	59512795	59512873	-	79	0	0	0	0	0	0	0	0	0
Gm23310	chr7	59514667	59514745	-	79	0	0	0	0	0	0	0	0	0
Gm25461	chr7	59516539	59516617	-	79	0	0	0	0	0	0	0	0	0
Gm24310	chr7	59518411	59518489	-	79	0	0	0	0	0	0	0	0	0
Gm22909	chr7	59520284	59520362	-	79	0	0	0	0	0	0	0	0	0
Gm25823	chr7	59522156	59522233	-	78	0	0	0	0	0	0	0	0	0
Gm25647	chr7	59524028	59524105	-	78	0	0	0	0	0	0	0	0	0
Gm22252	chr7	59525899	59525977	-	79	0	0	0	0	0	0	0	0	0
Gm26392	chr7	59527771	59527849	-	79	0	0	0	0	0	0	0	0	0
Gm24219	chr7	59529643	59529721	-	79	0	0	0	0	0	0	0	0	0
Gm25230	chr7	59531515	59531593	-	79	0	0	0	0	0	0	0	0	0
Gm22627	chr7	59533386	59533464	-	79	0	0	0	0	0	0	0	0	0
Gm24585	chr7	59535256	59535334	-	79	0	0	0	0	0	0	0	0	0
Gm23305	chr7	59537128	59537206	-	79	0	0	0	0	0	0	0	0	0
Gm24206	chr7	59538998	59539076	-	79	0	0	0	0	0	0	0	0	0
Gm25085	chr7	59540870	59540948	-	79	0	0	0	0	0	0	0	0	0
Gm25209	chr7	59542742	59542820	-	79	0	0	0	0	0	0	0	0	0
Gm23682	chr7	59544615	59544693	-	79	0	0	0	0	0	0	0	0	0
Gm24654	chr7	59546487	59546565	-	79	0	0	0	0	0	0	0	0	0
Gm26334	chr7	59548359	59548437	-	79	0	0	0	0	0	0	0	0	0
Gm25742	chr7	59550238	59550316	-	79	0	0	0	0	0	0	0	0	0
Gm25585	chr7	59552109	59552187	-	79	0	0	0	0	0	0	0	0	0
Gm25840	chr7	59553981	59554059	-	79	0	0	0	0	0	0	0	0	0
Gm25089	chr7	59555854	59555932	-	79	0	0	0	0	0	0	0	0	0
Gm24040	chr7	59557727	59557805	-	79	0	0	0	0	0	0	0	0	0
Gm22050	chr7	59559599	59559677	-	79	0	0	0	0	0	0	0	0	0
Gm23286	chr7	59561472	59561550	-	79	0	0	0	0	0	0	0	0	0
Gm24021	chr7	59563345	59563423	-	79	0	0	0	0	0	0	0	0	0
Gm22274	chr7	59565218	59565296	-	79	0	0	0	0	0	0	0	0	0
Gm24652	chr7	59567091	59567169	-	79	0	0	0	0	0	0	0	0	0
Gm23618	chr7	59568964	59569042	-	79	0	0	0	0	0	0	0	0	0
Gm23688	chr7	59570835	59570913	-	79	0	0	0	0	0	0	0	0	0
Gm24570	chr7	59572707	59572785	-	79	0	0	0	0	0	0	0	0	0
Gm26467	chr7	59574579	59574656	-	78	0	0	0	0	0	0	0	0	0
Gm25194	chr7	59576449	59576527	-	79	0	0	0	0	0	0	0	0	0
Gm22640	chr7	59578319	59578397	-	79	0	0	0	0	0	0	0	0	0
Gm24952	chr7	59580191	59580269	-	79	0	0	0	0	0	0	0	0	0
Gm25087	chr7	59582063	59582140	-	78	0	0	0	0	0	0	0	0	0
Gm23944	chr7	59583934	59584012	-	79	0	0	0	0	0	0	0	0	0
Gm22629	chr7	59585806	59585884	-	79	0	0	0	0	0	0	0	0	0
Gm26374	chr7	59587676	59587754	-	79	0	0	0	0	0	0	0	0	0
Gm26284	chr7	59589548	59589626	-	79	0	0	0	0	0	0	0	0	0
Gm25452	chr7	59591422	59591500	-	79	0	0	0	0	0	0	0	0	0
Gm25984	chr7	59593294	59593372	-	79	0	0	0	0	0	0	0	0	0
Gm25146	chr7	59595165	59595243	-	79	0	0	0	0	0	0	0	0	0
Gm24759	chr7	59597035	59597113	-	79	0	0	0	0	0	0	0	0	0
Gm24100	chr7	59598904	59598982	-	79	0	0	0	0	0	0	0	0	0
Gm22253	chr7	59600776	59600854	-	79	0	0	0	0	0	0	0	0	0
Gm25017	chr7	59602647	59602725	-	79	0	0	0	0	0	0	0	0	0
Gm23575	chr7	59604519	59604597	-	79	0	0	0	0	0	0	0	0	0
Gm22391	chr7	59606390	59606468	-	79	0	0	0	0	0	0	0	0	0
Gm22449	chr7	59608262	59608340	-	79	0	0	0	0	0	0	0	0	0
Gm24137	chr7	59610133	59610211	-	79	0	0	0	0	0	0	0	0	0
Gm22912	chr7	59612005	59612083	-	79	0	0	0	0	0	0	0	0	0
Gm25710	chr7	59613876	59613954	-	79	0	0	0	0	0	0	0	0	0
Gm26434	chr7	59615744	59615822	-	79	0	0	0	0	0	0	0	0	0
Gm23560	chr7	59617612	59617690	-	79	0	0	0	0	0	0	0	0	0
Gm25870	chr7	59619017	59619095	-	79	0	0	0	0	0	0	0	0	0
Gm44831	chr7	59627688	59630676	-	2989	0	14	0	0	0	0	0	0	0
Gm23862	chr7	59673461	59673554	-	94	0	2	0	0	0	0	0	0	0
Gm26504	chr7	59675988	59676081	-	94	0	0	0	0	0	0	0	0	0
Gm22285	chr7	59678509	59678602	-	94	0	0	0	0	0	0	0	0	0
Gm22131	chr7	59681055	59681148	-	94	0	0	0	0	0	0	0	0	0
Gm24153	chr7	59683586	59683679	-	94	0	0	0	0	0	0	0	0	0
Gm26365	chr7	59693220	59693313	-	94	0	0	0	0	0	0	0	0	0
Gm24609	chr7	59695744	59695837	-	94	0	0	0	0	0	0	0	0	0
Gm24264	chr7	59698307	59698400	-	94	0	0	0	0	0	0	0	0	0
Gm25155	chr7	59700878	59700971	-	94	0	0	0	0	0	0	0	0	0
Gm25816	chr7	59703427	59703520	-	94	0	0	0	0	0	0	0	0	0
Gm23141	chr7	59705968	59706061	-	94	0	0	0	0	0	0	0	0	0
Gm23767	chr7	59708469	59708562	-	94	0	2	0	0	0	0	0	0	0
Gm22417	chr7	59711009	59711102	-	94	0	0	0	0	0	0	0	0	0
Gm22584	chr7	59713534	59713625	-	92	0	1	0	0	0	0	0	0	0
Gm26270	chr7	59716059	59716152	-	94	0	0	0	0	0	0	0	0	0
Gm23089	chr7	59718588	59718681	-	94	0	0	0	0	0	0	0	0	0
Gm24711	chr7	59721125	59721218	-	94	0	0	0	0	0	0	0	0	0
Gm26188	chr7	59723644	59723737	-	94	0	0	0	0	0	0	0	0	0
Gm23265	chr7	59726161	59726254	-	94	0	0	0	0	0	0	0	0	0
Gm24518	chr7	59728681	59728774	-	94	0	0	0	0	0	0	0	0	0
Gm25944	chr7	59731223	59731316	-	94	0	0	0	0	0	0	0	0	0
Gm23047	chr7	59733770	59733863	-	94	0	0	0	0	0	0	0	0	0
Gm23953	chr7	59736313	59736406	-	94	0	1	0	0	0	0	0	0	0
Gm26332	chr7	59738848	59738941	-	94	0	0	0	0	0	0	0	0	0
Gm26032	chr7	59741373	59741466	-	94	0	0	0	0	0	0	0	0	0
Gm22863	chr7	59743912	59744005	-	94	0	0	0	0	0	0	0	0	0
Gm24618	chr7	59746425	59746518	-	94	0	0	0	0	0	0	0	0	0
Gm22046	chr7	59748956	59749049	-	94	0	0	1	0	0	0	0	0	0
Gm24760	chr7	59751489	59751582	-	94	0	0	0	0	0	0	0	0	0
Gm25350	chr7	59754002	59754095	-	94	0	6	0	0	0	0	0	0	0
Gm26502	chr7	59756514	59756607	-	94	0	0	0	0	0	0	0	0	0
Gm23313	chr7	59759026	59759119	-	94	0	0	0	0	0	0	0	0	0
Gm25471	chr7	59761554	59761647	-	94	0	0	0	0	0	0	0	0	0
Gm22776	chr7	59764088	59764181	-	94	0	0	0	0	0	0	0	0	0
Gm23446	chr7	59766611	59766704	-	94	0	0	0	0	0	0	0	0	0
Gm25210	chr7	59769138	59769231	-	94	0	0	1	0	0	0	0	0	0
Gm22128	chr7	59771656	59771749	-	94	0	1	0	0	0	0	0	0	0
Gm22851	chr7	59774190	59774283	-	94	0	0	0	0	0	0	0	0	0
Gm25074	chr7	59776724	59776817	-	94	0	0	0	0	0	0	0	0	0
Gm25157	chr7	59779250	59779343	-	94	0	0	0	0	0	0	0	0	0
Gm22631	chr7	59781780	59781873	-	94	0	0	0	0	0	0	0	0	0
Gm25474	chr7	59784293	59784386	-	94	0	0	0	0	0	0	0	0	0
Gm22941	chr7	59786818	59786911	-	94	0	1	0	0	0	0	0	0	0
Gm26246	chr7	59789331	59789424	-	94	0	0	0	0	0	0	0	0	0
Gm22047	chr7	59791844	59791937	-	94	0	0	0	0	0	0	0	0	0
Gm25597	chr7	59794360	59794453	-	94	0	0	0	0	0	0	0	0	0
Gm26097	chr7	59796905	59796997	-	93	0	0	0	0	0	0	0	0	0
Gm22258	chr7	59799444	59799537	-	94	0	0	0	0	0	0	0	0	0
Gm26201	chr7	59801956	59802049	-	94	0	0	0	0	0	0	0	0	0
Gm23619	chr7	59804471	59804564	-	94	0	0	0	0	0	0	0	0	0
Gm22812	chr7	59806995	59807088	-	94	0	0	0	0	0	0	0	0	0
Gm26433	chr7	59859214	59859307	-	94	0	0	0	0	0	0	0	0	0
Snord116l17	chr7	59861731	59861824	-	94	0	0	0	0	0	0	0	0	0
Gm25615	chr7	59864240	59864333	-	94	0	0	0	0	0	0	0	0	0
Snord116l16	chr7	59866788	59866881	-	94	0	0	0	0	0	0	0	0	0
Snord116l15	chr7	59869330	59869423	-	94	0	0	0	0	0	0	0	0	0
Snord116l14	chr7	59871864	59871957	-	94	0	0	0	0	0	0	0	0	0
Snord116l13	chr7	59874380	59874473	-	94	0	0	0	0	0	0	0	0	0
Snord116l2	chr7	59876933	59877026	-	94	0	0	0	0	0	0	0	0	0
Snord116l8	chr7	59879459	59879552	-	94	0	0	0	0	0	0	0	0	0
Snord116l7	chr7	59881989	59882082	-	94	0	0	0	0	0	0	0	1	0
Snord116l6	chr7	59884499	59884592	-	94	0	0	0	0	0	0	0	0	0
Snord116l5	chr7	59887057	59887150	-	94	0	1	0	0	0	0	0	0	0
Snord116l4	chr7	59889593	59889686	-	94	0	0	0	0	0	0	0	0	0
Snord116l3	chr7	59892111	59892204	-	94	0	0	0	0	0	0	0	0	0
Snord116l1	chr7	59894620	59894713	-	94	0	0	0	0	0	0	0	0	0
Snord116l9	chr7	59897161	59897254	-	94	0	0	0	0	0	0	0	0	0
Snord116l10	chr7	59899687	59899780	-	94	0	0	0	0	0	0	0	0	0
Snord116l11	chr7	59902213	59902306	-	94	0	0	0	0	0	0	0	0	0
Snord116l12	chr7	59904755	59904848	-	94	0	0	0	0	0	0	0	0	0
Gm22373	chr7	59923034	59923122	-	89	0	0	0	0	0	0	0	0	0
Gm38393	chr7	59974149	60005064	-	30916	442	540	615	1163	930	1000	1544	1521	1695
Snord64	chr7	59978808	59978874	-	67	1	3	3	1	0	0	1	2	0
Snord107	chr7	59980876	59980945	-	70	0	0	0	0	6	11	6	2	3
Snrpn	chr7	59982495	60140219	-	157725	476	849	625	1187	932	1013	1624	1588	1727
Snurf	chr7	59995449	60005049	-	9601	105	155	180	355	269	295	455	440	488
Gm18908	chr7	60132202	60133684	+	1483	5	2	1	19	13	17	50	45	33
Gm7367	chr7	60155609	60156100	+	492	48	74	40	108	90	69	30	45	34
Gm18129	chr7	60272860	60280211	+	7352	0	0	0	0	0	0	0	0	0
Gm30196	chr7	60293204	60293363	+	160	1	1	1	2	4	0	2	0	0
Gm3198	chr7	60643891	60645785	+	1895	0	0	1	0	0	0	0	0	0
Gm10297	chr7	60753363	60754013	-	651	101	146	148	41	6	27	34	36	12
Gm7394	chr7	60754882	60756779	+	1898	0	0	0	0	0	0	0	0	0
Gm44644	chr7	60915550	60922910	-	7361	1	28	1	0	0	0	0	0	0
Gm44643	chr7	60922922	60961385	-	38464	6	133	11	3	0	0	11	9	0
A230006K03Rik	chr7	61127996	61311721	-	183726	44	613	31	2	1	0	73	10	0
Gm38451	chr7	61128039	61130684	-	2646	0	14	0	0	0	0	0	0	0
B230209E15Rik	chr7	61529871	61615327	-	85457	217	345	181	801	653	585	400	432	421
Ube2nl	chr7	61549246	61549701	-	456	125	100	84	485	418	346	232	246	246
Gm25533	chr7	61673829	61673907	-	79	0	0	0	0	0	0	0	0	0
Gm23962	chr7	61681515	61681594	-	80	0	0	0	0	0	0	0	0	0
Mir344d-1	chr7	61683124	61683192	-	69	0	1	0	0	0	0	0	0	0
Mir344d-2	chr7	61685272	61685351	-	80	0	0	0	0	0	0	0	1	0
RP24-274B19.1	chr7	61704519	61829422	-	124904	39	287	45	2	0	1	58	19	1
Gm23490	chr7	61706591	61706670	-	80	0	0	0	0	0	0	0	2	0
RP24-274B19.2	chr7	61707739	61727752	-	20014	12	58	12	1	0	1	24	2	1
Gm22466	chr7	61708705	61708773	-	69	0	12	0	0	0	0	0	0	0
Mir344d-3	chr7	61726249	61726328	-	80	0	0	0	0	0	0	0	0	0
Gm23917	chr7	61733685	61733782	-	98	0	0	0	0	0	0	0	0	0
Mir344e	chr7	61735537	61735602	-	66	0	0	0	0	0	0	0	0	0
Mir344h-1	chr7	61739350	61739409	-	60	0	0	0	0	0	0	0	0	0
Mir344h-2	chr7	61742366	61742425	-	60	0	0	0	0	0	0	0	0	0
Gm23873	chr7	61750468	61750537	-	70	0	0	0	0	0	0	0	0	0
Mir344b	chr7	61790519	61790581	-	63	0	0	0	0	0	0	0	0	0
Mir344c	chr7	61837311	61837402	-	92	0	0	0	0	0	0	0	0	0
Mir344	chr7	61877770	61877864	-	95	0	0	0	0	0	0	0	0	0
Gm19032	chr7	61882972	61883563	+	592	0	0	0	0	0	0	0	0	0
RP23-54G8.4	chr7	61916400	61928690	-	12291	2	12	16	0	0	0	1	0	0
A330076H08Rik	chr7	61930137	61982358	-	52222	6	99	22	1	10	1	60	65	47
Gm3257	chr7	61938237	61938911	+	675	1	0	0	0	2	1	0	1	0
Mir344-2	chr7	61940027	61940106	-	80	0	0	0	0	0	0	0	0	0
Mir344g	chr7	61982289	61982359	-	71	0	0	0	0	2	0	3	11	7
Gm23431	chr7	62036631	62036737	-	107	0	0	0	0	0	0	0	0	0
Mir344f	chr7	62046181	62046248	-	68	0	0	0	0	0	0	0	0	0
Gm24923	chr7	62078718	62078805	-	88	0	0	0	0	0	0	0	0	0
Mir344i	chr7	62085223	62085310	-	88	0	0	0	0	0	0	0	0	0
Gm9801	chr7	62094506	62209479	-	114974	22	203	26	0	0	3	4	27	0
Gm45009	chr7	62337794	62423245	-	85452	976	1606	1336	970	1069	979	1437	2468	1036
Ndn	chr7	62346569	62350262	+	3694	947	1315	1307	792	930	869	1241	2383	949
Magel2	chr7	62377010	62381640	+	4631	0	0	10	0	0	0	0	0	0
Mkrn3	chr7	62417593	62420139	-	2547	15	75	0	178	139	110	181	85	87
Peg12	chr7	62461871	62464510	-	2640	20	15	7	381	253	295	14	37	57
Atp5l-ps1	chr7	62476306	62476617	+	312	120	103	61	341	301	311	415	366	395
Vmn2r-ps61	chr7	62577328	62578216	-	889	0	1	0	0	0	0	0	0	0
Gm22494	chr7	62611657	62611784	+	128	0	0	0	0	0	0	0	0	0
Gm9445	chr7	62683402	62684686	-	1285	0	0	0	0	1	0	0	0	0
A26c2	chr7	62778423	62823673	-	45251	2	161	42	0	0	2	32	5	0
Gm32111	chr7	62782245	62783090	+	846	0	1	0	0	0	0	7	0	0
Chrna7	chr7	63098692	63212569	-	113878	54	198	76	3	38	50	44	18	1
Gm44741	chr7	63134164	63136290	-	2127	0	19	0	0	0	7	14	0	0
4930554H23Rik	chr7	63344690	63444529	-	99840	7	155	30	0	0	1	15	0	0
Otud7a	chr7	63444751	63759028	+	314278	432	934	367	548	878	824	462	394	336
Gm5898	chr7	63542479	63544549	+	2071	301	243	194	363	649	597	310	241	288
Gm22228	chr7	63585922	63586022	+	101	0	3	0	0	0	0	0	0	0
Gm3307	chr7	63606019	63606650	+	632	6	11	5	24	16	20	2	5	4
Gm44718	chr7	63765874	63766232	+	359	0	0	0	0	0	0	0	0	0
Gm7482	chr7	63810826	63811330	-	505	22	9	11	146	113	94	52	71	47
Gm44720	chr7	63826978	63827237	+	260	0	1	0	0	0	0	0	0	1
Klf13	chr7	63886351	63938915	-	52565	2310	3151	2752	1059	1390	1223	808	815	590
Gm27252	chr7	63896533	63899698	+	3166	7	18	51	0	15	13	8	28	21
E030018B13Rik	chr7	63916857	63920539	+	3683	0	9	0	0	3	6	0	2	0
Gm44627	chr7	63948678	63950208	+	1531	0	4	0	0	0	0	0	0	0
Gm45052	chr7	63962240	63967744	+	5505	0	0	0	0	0	0	0	0	0
Gm45055	chr7	64001885	64020959	+	19075	26	1	5	0	0	0	0	1	0
Gm45054	chr7	64034246	64040826	-	6581	0	7	0	0	0	0	0	0	0
Gm20670	chr7	64057602	64062958	+	5357	0	2	4	0	0	0	1	0	0
Trpm1	chr7	64153835	64269775	+	115941	31	130	5	3	2	5	10	0	4
Gm44722	chr7	64202089	64202524	-	436	0	0	0	0	0	0	0	0	0
Mir211	chr7	64205806	64205911	+	106	0	0	0	0	0	0	0	0	0
Gm44719	chr7	64213190	64213338	+	149	0	0	0	0	0	0	0	0	0
Mir6416	chr7	64249983	64250099	-	117	0	0	0	0	0	0	0	0	0
Gm44765	chr7	64283800	64284400	+	601	0	1	0	0	0	1	0	0	0
Gm45212	chr7	64284808	64288210	-	3403	46	26	10	33	37	48	18	14	9
Mtmr10	chr7	64287653	64340806	+	53154	1081	1025	637	891	931	1141	493	412	231
Gm20457	chr7	64337550	64345964	-	8415	521	479	360	413	525	512	267	181	138
Fan1	chr7	64346758	64374095	-	27338	119	227	118	3	24	95	37	31	35
Mphosph10	chr7	64376527	64392268	-	15742	2274	1967	1606	5873	5202	4788	2069	2136	2399
Mcee	chr7	64392607	64412125	+	19519	380	438	288	307	257	255	788	686	749
Apba2	chr7	64501706	64753878	+	252173	235	281	149	6	14	46	436	50	108
Gm45082	chr7	64515311	64515911	+	601	0	0	0	0	0	0	0	0	0
Gm44721	chr7	64529425	64529896	+	472	0	0	0	0	0	0	0	0	0
Fam189a1	chr7	64756091	65156570	-	400480	1140	1448	932	3578	3444	3501	3438	3490	3499
Ndnl2	chr7	64867052	64872997	-	5946	1076	1150	857	3555	3399	3375	3276	3300	3292
Gm25249	chr7	64956499	64956576	-	78	0	0	0	0	0	0	0	0	0
Gm17908	chr7	65170642	65171897	+	1256	0	0	0	0	0	0	0	0	0
Gm17918	chr7	65173618	65174191	-	574	0	0	1	1	7	8	5	5	9
Gm45214	chr7	65212814	65213429	-	616	0	0	0	0	0	0	0	0	0
Tjp1	chr7	65296165	65527781	-	231617	1755	2917	2240	458	644	861	714	458	361
Gm44794	chr7	65366372	65366782	-	411	2	0	0	0	0	0	0	0	0
Gm44795	chr7	65401847	65402165	+	319	0	0	0	0	0	0	0	0	0
Gm44792	chr7	65479594	65481221	-	1628	0	0	0	0	0	0	0	0	0
Gm7546	chr7	65579998	65635913	-	55916	0	33	41	0	0	0	17	2	0
BC046251	chr7	65582070	65618884	+	36815	0	23	21	0	0	0	14	1	0
Tarsl2	chr7	65644898	65692091	+	47194	168	119	51	172	538	543	1032	680	909
Tm2d3	chr7	65691169	65701913	+	10745	383	528	503	1116	1038	1188	1291	1325	1304
Gm7551	chr7	65784859	65785932	+	1074	14	19	11	61	43	41	15	20	9
1810008I18Rik	chr7	65803111	65806449	+	3339	8	6	0	0	0	2	0	7	10
Gm20684	chr7	65861006	65861992	-	987	0	1	0	0	0	0	0	0	0
Pcsk6	chr7	65861734	66050386	+	188653	1247	1058	518	186	182	167	47	67	97
Gm45213	chr7	66043602	66062271	+	18670	1242	1012	513	3689	3006	2568	687	811	602
Snrpa1	chr7	66059003	66074587	+	15585	2369	2226	1248	10940	8921	7956	2070	2425	1827
Gm45081	chr7	66078902	66079473	-	572	1	2	0	11	0	0	30	4	6
Vimp	chr7	66079649	66089405	+	9757	5195	5334	3020	5373	3569	2967	6015	6333	3591
Gm26827	chr7	66109515	66173121	-	63607	441	497	339	806	1164	725	236	244	182
